stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1107,41221,Gare Saint-Roch,GARE SAINT ROCH,43.605766,3.880209,,,1
1108,41223,Comédie,com édie,43.608372,3.879797,,,1
1109,41225,Corum,CORUM,43.614231,3.881786,,,1
1110,41227,Louis Blanc - Agora de la Danse,"LOU I BLANC, agora de la danse",43.61475,3.878125,,,1
1111,41229,Albert 1er - Saint-Charles,"Albert premié, saint charles",43.616516,3.874127,,,1
1112,41231,Stade Philippidès,s'tAAde filipi d'èsse,43.618992,3.869516,,,1
1113,41233,Boutonnet - Cité des Arts,BOUTONNET - cité des arts,43.622597,3.86814,,,1
1114,41235,Saint-Éloi,SAINT tEt LOI,43.62701,3.865734,,,1
1115,41237,Université Montpellier - Triolet,"université, montpellier triolai",43.629154,3.861571,,,1
1116,41239,Hôpital Lapeyronie,"hôpital, lapaironi",43.631672,3.852603,,,1
1117,41241,Occitanie Hôpitaux - Facultés,OCCITANIE - hopitaux-facultés,43.63464,3.848511,,,1
1118,41243,Château d'Ô,CHATEAU D'eau,43.631615,3.843047,,,1
1119,41245,Malbosc - Domaine d'Ô,"MAL BOSC, domaine d'o",43.634621,3.833225,,,1
1120,41247,Euromédecine,euro médecinne,43.639004,3.827682,,,1
1121,41249,Hauts de Massane,HAUTS DE MASSANE,43.636276,3.82266,,,1
1122,41251,Saint-Paul,SAINT Pol,43.630688,3.821092,,,1
1123,41253,Halles de la Paillade,HALLES DE LA PAILLADE,43.627563,3.817483,,,1
1161,24116,La Valsière,la valsière,43.650005,3.832303,,,1
1162,24117,L'Île Bleue,"l'île, bleu",43.648926,3.831086,,,1
1163,24121,Malbosc - Domaine d'Ô,malbosc - domaine d'o,43.634686,3.833697,,,1
1165,24123,Caducée,cas ducée,43.643394,3.833219,,,1
1166,24124,Croix de Lavit,croix de lavite,43.639122,3.839049,,,1
1167,24125,Gaston Planté,gaston planté,43.645832,3.830498,,,1
1168,24211,Euromédecine,euromédecine,43.639137,3.828924,,,1
1169,24215,L'Île Bleue,"l'île, bleu",43.648922,3.832597,,,1
1170,24220,Malbosc - Domaine d'Ô,malbosc - domaine d'o,43.634972,3.833085,,,1
1171,24223,Caducée,cas ducée,43.643467,3.833147,,,1
1172,24224,Croix de Lavit,croix de lavite,43.639336,3.839327,,,1
1173,24225,Gaston Planté,gaston planté,43.646496,3.831345,,,1
1175,28125,Parc Expo,PARC EXPO,43.572723,3.944216,,,1
1176,28126,Plein Sud,PLEIN SUD,43.571461,3.942276,,,1
1178,28225,Parc Expo,PARC EXPO,43.572788,3.944712,,,1
1179,28226,Plein Sud,PLEIN SUD,43.571667,3.942789,,,1
1180,42101,Saint-Jean de Védas Centre,Saint j'en de védasse CENTRE,43.574921,3.830647,,,1
1181,42103,Saint-Jean le Sec,Saint j'en LE SEC,43.57082,3.837909,,,1
1182,42105,La Condamine,LA - conda mine,43.571995,3.844443,,,1
1183,42107,Victoire 2,"victoire, 2",43.575172,3.849881,,,1
1184,42111,Sabines,SABINES,43.583794,3.860175,,,1
1185,42113,Villeneuve d'Angoulême,"Villeuneuve, d'Angoulême",43.588776,3.865688,,,1
1186,42115,Croix d'Argent,CROIX D'ARGENT,43.592407,3.866465,,,1
1187,42117,Mas Drevon,masse dreu vont,43.595478,3.867883,,,1
1188,42119,Lemasson,LEu MAçon,43.593636,3.873091,,,1
1189,42121,Saint-Cléophas,SAINT CLéo PHASse,43.594898,3.875969,,,1
1190,42123,Nouveau Saint-Roch,nouveau saint-roch,43.599361,3.875681,,,1
1191,42125,Rondelet,RONdeu LET,43.603085,3.876054,,,1
1192,42127,Gare Saint-Roch,GARE SAINT ROCH,43.604481,3.879753,,,1
1193,42129,Place Carnot,PLACE CARNOT,43.60368,3.884247,,,1
1194,42131,Voltaire,voltère,43.603691,3.889109,,,1
1195,42133,Rives du Lez - Consuls de Mer,rive du lèze - consul de mer,43.603989,3.893966,,,1
1196,42137,Pompignane,POMPIGNANE,43.612576,3.894968,,,1
1197,42139,Les Aubes,LES AUBES,43.613987,3.888226,,,1
1198,42141,Corum,CORUM,43.614464,3.882015,,,1
